Артикул,Товар,Категория,Подкатегория,Цена за штуку,Цена за упаковку,Цена за коробку,Кол-во в упаковке,Кол-во в коробке
12131,"Бумажный стакан для горячих напитков, однослойный, под экспрессо, 165 мл. белый",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,14,14,14,1,1
12132,"Бумажный стакан для горячих напитков, однослойный, под экспрессо, 165 мл. черный",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,14,700,14000,50,1000
12133,"Бумажный стакан для горячих напитков, однослойный, под экспрессо, 165 мл. крафт",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,14,700,14000,50,1000
12012,"Бумажный стакан для горячих напитков, однослойный, БЕЛЫЙ Объемы: 250 мл., d-80 мм.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,15,15,15,1,1
12013,"Бумажный стакан для горячих напитков, однослойный, БЕЛЫЙ Объемы: , d-80 мм. 350 мл., d-90 мм.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,24,1200,24000,50,1000
12014,"Бумажный стакан для горячих напитков, однослойный, БЕЛЫЙ Объемы: , d-80 мм. , d-90 мм. 450 мл., d-90 мм.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,29,1450,29000,50,1000
12022,"Бумажный стакан для горячих напитков, однослойный, БИРЮЗОВЫЙ Объемы: 250 мл., d-80 мм.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,18,18,18,1,1
12023,"Бумажный стакан для горячих напитков, однослойный, БИРЮЗОВЫЙ Объемы: , d-80 мм. 350 мл., d-90 мм.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,26,1300,26000,50,1000
12024,"Бумажный стакан для горячих напитков, однослойный, БИРЮЗОВЫЙ Объемы: , d-80 мм. , d-90 мм. 450 мл., d-90 мм.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,32,1600,32000,50,1000
12032,"Бумажный стакан для горячих напитков, однослойный, ЖЕЛТЫЙ Объемы: 250 мл., d-80 мм.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,17,17,17,1,1
12033,"Бумажный стакан для горячих напитков, однослойный, ЖЕЛТЫЙ Объемы: , d-80 мм. 350 мл., d-90 мм.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,26,1300,26000,50,1000
12034,"Бумажный стакан для горячих напитков, однослойный, ЖЕЛТЫЙ Объемы: , d-80 мм. , d-90 мм. 450 мл., d-90 мм.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,28,1400,28000,50,1000
12042,"Бумажный стакан для горячих напитков, однослойный, КРАСНЫЙ Объемы: 250 мл., d-80 мм.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,16,16,16,1,1
12043,"Бумажный стакан для горячих напитков, однослойный, КРАСНЫЙ Объемы: , d-80 мм. 350 мл., d-90 мм.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,24,1200,24000,50,1000
12044,"Бумажный стакан для горячих напитков, однослойный, КРАСНЫЙ Объемы: , d-80 мм. , d-90 мм. 450 мл., d-90 мм.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,29,1450,29000,50,1000
12081,"Стакан бумажный для горячих напитков 1 сл., темно-синий Объемы: 250 мл.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,19,950,19000,50,1000
12082,"Стакан бумажный для горячих напитков 1 сл., темно-синий Объемы: 350 мл.",ОДНОРАЗОВАЯ ПОСУДА,ОДНОРАЗОВЫЕ СТАКАНЫ,26,1300,26000,50,1000
